pressure,temperature,crystal,Potential Energy
1.0,0.3,liquid,-1.8659802722298704
1.0,0.32,liquid,-1.8430755579527642
1.0,0.34,liquid,-1.8311884836672347
1.0,0.35,liquid,-1.818167519090905
1.0,0.35,p2,-2.012214572207341
1.0,0.35,p2gg,-2.004629966965526
1.0,0.35,pg,-1.9009015408519345
1.0,0.36,liquid,-1.812434364597901
1.0,0.36,p2,-2.0078014832862103
1.0,0.36,p2gg,-2.0000116004228663
1.0,0.36,pg,-1.8941675857353688
1.0,0.37,liquid,-1.8004789721140062
1.0,0.37,p2,-2.0032533358246525
1.0,0.37,p2gg,-1.9953929528695442
1.0,0.37,pg,-1.889966575381945
1.0,0.38,liquid,-1.7907416356908823
1.0,0.38,p2,-1.9985674064732146
1.0,0.38,p2gg,-1.99118924438244
1.0,0.38,pg,-1.8895214907118048
1.0,0.39,liquid,-1.781990939621829
1.0,0.39,p2,-1.9937992817844745
1.0,0.39,p2gg,-1.98626629765749
1.0,0.39,pg,-1.8831511097606644
1.0,0.4,liquid,-1.772453206409697
1.0,0.4,p2,-1.9889989517261908
1.0,0.4,p2gg,-1.9819075311321925
1.0,0.4,pg,-1.8757353704278272
1.0,0.42,liquid,-1.7544826088758778
1.0,0.42,p2,-1.9790325932031243
1.0,0.42,p2gg,-1.9735917682217259
1.0,0.42,pg,-1.8706264104563488
1.0,0.44,liquid,-1.7361522875682556
1.0,0.45,liquid,-1.7272919461679583
1.0,0.45,p2,-1.963675232403273
1.0,0.45,p2gg,-1.960366329680059
1.0,0.45,pg,-1.8521744660615065
1.0,0.46,liquid,-1.7185298646414835
1.0,0.5,liquid,-1.6834342459479357
1.0,0.5,p2,-1.9359944161433527
1.0,0.5,p2gg,-1.932295870131447
1.0,0.5,pg,-1.7472880537103188
1.0,0.55,liquid,-1.6405040916645766
1.0,0.55,p2,-1.684144767363591
1.0,0.55,p2gg,-1.640561840265377
1.0,0.55,pg,-1.6402881748276292
1.0,0.6,liquid,-1.5999937075670891
1.0,0.7,liquid,-1.5189576937255995
1.0,0.75,liquid,-1.480457671948799
13.5,1.25,liquid,-1.064768624153369
13.5,1.3,liquid,-1.057179440817948
13.5,1.32,liquid,-1.0523479352565506
13.5,1.33,liquid,-1.0492877096038893
13.5,1.33,p2,-1.247423845089284
13.5,1.33,p2gg,-1.2381151574317957
13.5,1.33,pg,-1.1400744850830853
13.5,1.35,liquid,-1.0453571618854751
13.5,1.35,p2,-1.2443157100483622
13.5,1.35,p2gg,-1.2363315661532757
13.5,1.35,pg,-1.1380751067658736
13.5,1.37,liquid,-1.0397209825680453
13.5,1.38,liquid,-1.0391582905384213
13.5,1.38,p2,-1.2405366227579362
13.5,1.38,p2gg,-1.2308271658420136
13.5,1.38,pg,-1.13410686750868
13.5,1.4,liquid,-1.0336590148222562
13.5,1.4,p2,-1.2381662434424607
13.5,1.4,p2gg,-1.22956505294643
13.5,1.4,pg,-1.1322418159362604
13.5,1.42,liquid,-1.030513912465759
13.5,1.44,liquid,-1.0253759627097867
13.5,1.45,liquid,-1.023674243512056
13.5,1.45,p2,-1.2315020945349704
13.5,1.45,p2gg,-1.2218651426897322
13.5,1.45,pg,-1.1253051067075899
13.5,1.46,liquid,-1.0214682662044638
13.5,1.5,liquid,-1.0128520830238217
13.5,1.5,p2,-1.2239943421564972
13.5,1.5,p2gg,-1.2154424908829373
13.5,1.5,pg,-1.1187130222209813
13.5,1.6,liquid,-0.9922671424903146
13.5,1.6,p2,-1.2096985817931543
13.5,1.6,p2gg,-1.2030074272036217
13.5,1.6,pg,-1.1067138462251986
13.5,1.8,liquid,-0.9513213330381625
13.5,1.8,p2,-1.1799043256857642
13.5,1.8,p2gg,-1.1713242540203372
13.5,1.8,pg,-1.0721663953087797
13.5,2.0,liquid,-0.9110132822452355
13.5,2.0,p2,-0.9449785299702378
13.5,2.0,p2gg,-1.1265982144816467
13.5,2.0,pg,-0.9137246461607138
13.5,2.2,liquid,-0.8748824054679705
13.5,2.2,p2,-0.8751377956944449
13.5,2.2,p2gg,-0.8758036551016863
13.5,2.2,pg,-0.8749714886830366
13.5,2.5,liquid,-0.8206036497066219
13.5,3.0,liquid,-0.7369265079926757
